pais,marca,modelo,firmware,mac_cm,cm_ip,cliente,virtual,velocidad,capa,seguridad,srvstat,srvrealstat
GT,No Marca,No Modelo,,00030814069f,10.157.86.38,727930,727930,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,0003081406c4,10.147.70.250,728138,728138,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081406cb,10.131.103.65,728056,728056,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814074e,10.135.82.74,728143,728143,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,000308140755,10.137.72.62,728298,728298,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,000308140d6b,10.135.108.248,728239,728239,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308140de0,10.131.110.90,728148,728148,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308140e19,10.135.125.195,728064,728064,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308140e34,10.159.92.88,728003,728003,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308140eac,10.161.94.185,727596,727596,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308140ee4,10.152.120.97,728455,728455,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308140ef3,10.147.64.237,728391,728391,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308140f2e,10.133.124.246,728736,728736,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308140fc3,10.133.85.71,728093,728093,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308140fd0,10.164.110.96,728159,728159,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308140fd4,10.161.79.164,727641,727641,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141018,10.159.108.57,728171,728171,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814102d,10.149.69.8,728076,728076,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081410d5,10.135.102.168,727825,727825,Alpha,Layer3,,1,1
GT,Technicolor,TC7110.02,STD3.30.02,0003081410ec,10.134.65.154,727689,727689,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814113f,10.152.113.123,728403,728403,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081411d1,10.155.115.134,728214,728214,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081411dc,10.159.105.34,727872,727872,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814120a,10.159.121.166,727866,727866,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141211,10.147.67.62,728049,728049,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141223,10.135.107.118,727839,727839,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814122d,10.149.64.221,727905,727905,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141265,10.159.120.125,727762,727762,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,00030814127c,10.157.77.60,727819,727819,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141294,10.159.67.28,727871,727871,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081412a5,10.152.114.140,728412,728412,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081412d4,10.147.95.243,728120,728120,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,000308141380,10.162.64.14,728275,728275,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308141381,10.137.66.76,728432,728432,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141382,10.157.87.126,728073,728073,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308141384,10.133.123.206,-1000,0,Alpha,,,1,1
GT,No Marca,No Modelo,,000308141562,10.152.95.40,728374,728374,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141571,10.137.71.102,728339,728339,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,000308141600,10.135.95.51,728169,728169,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141648,10.131.127.74,727786,727786,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141658,10.139.73.20,728036,728036,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141674,10.132.72.170,728276,728276,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081416cf,10.139.125.147,728170,728170,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030814175a,10.137.85.251,728304,728304,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814179f,10.139.90.188,728260,728260,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081417a5,10.152.100.19,728458,728458,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,0003081417ad,10.139.89.88,728074,728074,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,0003081417b3,10.164.69.224,728230,728230,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141830,10.152.96.218,728454,728454,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030814191f,10.157.95.134,728218,728218,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141961,10.135.105.40,728243,728243,Alpha,Layer3,,1,1
GT,Technicolor,CGA0112,CGA0112D-P15-5-A000-c7400r5714-190927-CCA,000308141966,127.0.0.1,-1000,0,Alpha,,,0,0
GT,AM Communications,9360,1.35,000308141992,10.164.124.121,-1000,0,Alpha,,,1,1
GT,AM Communications,9360,1.35,0003081419a1,10.137.84.8,728312,728312,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141a72,10.152.88.119,728436,728436,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141a87,10.155.116.132,727929,727929,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141a89,10.147.81.220,728021,728021,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141a8d,10.165.124.251,728394,728394,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141a8f,10.135.103.43,728244,728244,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141bf5,10.159.96.43,728267,728267,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141f89,10.159.96.201,727830,727830,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308141fe4,10.161.122.143,727601,727601,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308142069,10.147.127.53,727678,727678,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2200-ED52J,1.1.3,00030814206c,10.157.110.211,728269,728269,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814206e,10.161.99.158,727597,727597,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308142187,10.159.98.57,727801,727801,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308142c18,10.133.124.162,729072,729072,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308142c5d,10.155.80.184,729184,729184,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,0003081431d8,10.133.97.83,728547,728547,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030814334c,10.138.82.178,728642,728642,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308143353,10.138.91.15,728591,728591,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,0003081433b5,10.137.103.22,728563,728563,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814349d,10.159.102.96,728299,728299,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,0003081434bc,10.140.68.218,728712,728712,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030814750a,10.143.119.2,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308149f29,10.139.114.140,727611,727611,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,000308149f6a,10.151.72.190,728504,728504,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a1a8,10.131.77.196,728779,728779,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a2ce,10.133.114.100,728530,728530,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a2fd,10.147.90.160,729158,729158,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a308,10.152.85.214,727622,727622,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a366,10.151.122.94,728499,728499,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030814a36d,10.164.89.2,728600,728600,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a374,10.139.70.25,728883,728883,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a39d,10.159.118.165,728881,728881,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a3a5,10.158.94.228,728700,728700,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a40e,10.133.102.70,728939,728939,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a40f,10.147.80.244,728743,728743,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a416,10.133.85.209,729082,729082,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a428,10.147.108.180,728556,728556,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a429,10.141.115.80,728771,728771,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a431,10.139.96.125,728472,728472,Alpha,Layer3,,1,1
GT,Technicolor,TC7110.02,STD3.30.02,00030814a432,10.155.94.25,728768,728768,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a47e,10.152.111.124,728824,728824,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a481,10.133.124.117,729064,729064,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a4a6,10.135.88.66,728854,728854,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a4aa,10.152.109.153,728375,728375,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a50f,10.164.124.93,728791,728791,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a511,10.158.126.68,728478,728478,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a516,10.153.127.26,728429,728429,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a524,10.133.68.35,728615,728615,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2200-ED52J,1.1.3,00030814a552,10.164.64.9,728571,728571,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a766,10.139.120.217,-4444444,-4444444,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a76d,10.161.110.20,-4444444,-4444444,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030814a77f,127.0.0.1,728581,728581,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a780,10.133.74.247,728852,728852,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a789,10.151.82.249,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a796,10.138.80.214,728623,728623,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a79c,10.133.91.185,728480,728480,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2200-ED52J,1.1.3,00030814a7a7,10.155.64.38,727614,727614,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,00030814a7bb,10.141.69.106,729116,729116,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a7bf,10.135.70.202,728634,728634,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a7e4,10.155.123.189,728608,728608,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a801,10.151.67.215,728535,728535,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a802,10.131.108.123,728933,728933,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a806,10.133.85.4,728840,728840,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,00030814a88a,10.133.90.101,728697,728697,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a88b,10.131.70.170,728689,728689,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a88e,10.150.120.86,728676,728676,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a896,10.133.125.128,728687,728687,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a907,10.161.114.50,728710,728710,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a90f,10.129.99.200,729092,729092,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a911,10.162.90.206,728929,728929,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a91e,10.162.95.187,728937,728937,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814a922,10.133.78.132,728805,728805,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a931,10.155.124.212,728725,728725,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a98f,10.158.116.229,728619,728619,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814a9a6,10.159.77.169,727755,727755,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814aa5f,10.162.70.106,728844,728844,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814aa61,10.141.71.33,728645,728645,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814aa76,10.132.127.204,728735,728735,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814aac3,10.133.66.208,729144,729144,Alpha,Layer3,,1,1
GT,Technicolor,CGA0112,CGA0112D-P15-5-A000-c7400r5714-190927-CCA,00030814aaca,10.143.118.154,728534,728534,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814aae3,10.159.112.73,728877,728877,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814ab29,10.133.80.109,728577,728577,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ab41,10.152.98.148,728872,728872,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ab46,10.162.95.47,728610,728610,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ab47,10.155.118.18,728821,728821,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814ab49,10.140.82.77,728621,728621,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,STD3.30.01,00030814ab4b,10.162.104.146,728783,728783,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2001-AN21V,1.1.4,00030814ac88,10.141.123.7,728644,728644,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ad34,10.132.121.14,728742,728742,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814ad40,10.164.64.149,728649,728649,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ad71,10.130.86.154,359404,359404,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ad7e,10.155.121.34,728786,728786,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ad8b,10.152.127.175,728917,728917,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814adc7,10.152.114.165,729096,729096,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814adca,10.159.109.91,728876,728876,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ae01,10.162.92.129,729166,729166,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ae0c,10.186.0.96,728828,728828,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ae30,10.150.75.73,728584,728584,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814aedb,10.140.80.37,728885,728885,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814af72,10.159.127.117,728871,728871,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814af80,10.150.66.99,728698,728698,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b01b,10.150.127.140,729114,729114,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b116,10.147.96.190,728796,728796,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b138,10.151.77.17,728510,728510,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b13a,10.135.78.23,728880,728880,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,00030814b145,127.0.0.1,728861,728861,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b17e,10.133.96.11,728960,728960,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b183,10.162.83.118,728925,728925,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b18e,10.133.116.111,728878,728878,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b218,10.143.74.62,727688,727688,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b21d,10.153.64.152,728617,728617,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b245,10.159.73.77,728851,728851,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b277,10.143.79.18,728538,728538,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b2bd,10.141.102.70,728785,728785,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b330,10.140.79.143,728554,728554,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b33a,10.153.90.110,728659,728659,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b33f,10.162.88.12,728275,728275,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b341,10.153.68.11,728810,728810,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b344,10.139.107.11,728576,728576,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b345,10.133.111.45,729073,729073,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b348,10.152.73.26,727716,727716,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b34e,10.138.112.212,727660,727660,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b361,10.161.116.27,728868,728868,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b39a,10.133.70.182,728514,728514,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b3da,10.133.64.34,728686,728686,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b3f0,10.159.86.11,729142,729142,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b3fa,10.131.94.114,728490,728490,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030814b400,10.131.89.243,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b406,10.153.76.128,728858,728858,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b412,10.143.117.215,728522,728522,Alpha,Layer3,,1,1
GT,Technicolor,TC7110.02,STD3.30.02,00030814b43b,10.137.110.35,728296,728296,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b485,10.155.108.186,728392,728392,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-170503a-CCA,00030814b4ab,10.147.122.119,728797,728797,Alpha,Layer3,,1,1
GT,AM Communications,9360,1.35,00030814b4cc,10.149.86.0,727809,727809,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b5e3,10.147.83.219,728620,728620,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b64c,10.153.91.37,728782,728782,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814b655,10.143.85.179,728521,728521,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030814c5a7,10.133.72.68,728732,728732,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814c98b,10.143.101.237,727665,727665,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814c9ee,10.143.75.201,728527,728527,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814ccf6,10.143.105.24,728526,728526,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030814cf36,10.143.66.169,728520,728520,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030814d162,10.151.72.227,727670,727670,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e382,10.138.96.160,728789,728789,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030816e383,10.162.69.227,728888,728888,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e38d,10.131.75.95,-4444444,-4444444,Alpha,Layer3,,1,1
GT,Motorola Corporation,SBV5121,SBV5121-17.7.3-SCM-10-SHPC,00030816e3b9,10.131.66.167,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e3c8,10.132.117.27,728843,728843,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-170503a-CCA,00030816e3e4,10.134.72.230,728918,728918,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e3fd,10.155.73.104,728849,728849,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e436,10.133.64.8,728693,728693,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e44f,10.155.117.190,728470,728470,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-170503a-CCA,00030816e45b,10.161.99.18,728895,728895,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e465,10.147.82.56,359405,359405,Alpha,Layer3,,1,1
GT,AM Communications,9316M,1.01,00030816e47f,10.133.79.54,728640,728640,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e497,10.162.64.4,728636,728636,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e499,10.155.92.94,728727,728727,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4c4,10.133.64.2,728722,728722,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4c5,10.162.116.145,729174,729174,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4d3,10.133.78.185,728670,728670,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4da,10.133.80.21,728923,728923,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4dc,10.133.81.114,728589,728589,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e4e7,10.155.124.157,728067,728067,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e520,10.147.73.228,729115,729115,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e565,10.159.121.198,727728,727728,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e567,10.133.81.226,728969,728969,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e5ac,10.153.90.121,728717,728717,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e827,10.133.72.231,729141,729141,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e877,10.133.81.179,729063,729063,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030816e8bc,10.159.106.208,727800,727800,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e8d9,10.133.91.222,728616,728616,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e8fb,10.153.74.246,728650,728650,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e8fc,10.131.70.254,-4444444,-4444444,Alpha,Layer3,,1,1
GT,Technicolor,CGA0112,CGA0112D-P15-5-A000-c7400r5714-190927-CCA,00030816e902,10.135.85.99,729156,729156,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e907,10.140.126.144,-4444444,-4444444,Alpha,Layer3,,1,1
GT,Technicolor,TC7110.02,STD3.30.02,00030816e90e,10.162.112.137,729076,729076,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030816e915,10.147.66.4,728769,728769,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e917,10.135.117.63,727782,727782,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e923,10.133.118.150,729138,729138,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e927,10.147.88.239,727953,727953,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e92e,10.140.114.64,728890,728890,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030816e930,10.162.103.144,728765,728765,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e944,10.131.88.215,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e94b,10.155.64.44,727793,727793,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2200-ED52J,1.1.3,00030816e951,10.162.84.50,728625,728625,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e956,10.134.74.138,729123,729123,Alpha,Layer3,,1,1
GT,Kaonmedia,CG2200-ED52J,1.1.3,00030816e959,10.152.102.225,729094,729094,Alpha,Layer3,,1,1
GT,Technicolor,TC7300.B0M,STFA.30.01,00030816e95c,10.159.99.58,727745,727745,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e95f,10.133.65.215,728968,728968,Alpha,Layer3,,1,1
GT,Alpha Technologies,DSM33,DSM33-5.7.1mp1,00030816e969,10.162.109.93,728920,728920,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e976,10.159.65.156,727976,727976,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e97a,10.153.64.141,729101,729101,Alpha,Layer3,,1,1
GT,Technicolor,DPC3928SL2,D3928SL2-P15-13-A386-c3420r55105-180206a-CCA,00030816e97d,10.150.104.6,728820,728820,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e980,10.162.115.250,-4444444,-4444444,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030816e981,10.162.94.63,728795,728795,Alpha,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,00030816e988,10.162.75.62,727718,727718,Alpha,Layer3,,1,1
GT,Technicolor,TC7110.02,STD3.30.02,00030816e98b,10.135.107.223,729086,729086,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e990,10.133.86.175,728973,728973,Alpha,Layer3,,1,1
GT,Technicolor,CGA0101,CGA0101D-P15-5-A000-c7420r5714-191031-CCA,00030816e991,10.147.104.70,728529,728529,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e999,10.140.119.198,-4444444,-4444444,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e9b1,10.150.91.105,728819,728819,Alpha,Layer3,,1,1
GT,No Marca,No Modelo,,00030816e9c9,10.154.110.70,-4444444,-4444444,Alpha,Layer3,,1,1
